signal,horizon,ic,oos_r2,oos_ic,p_value_ic,a_s_cost_bps,expected_return_bps,survival,n_obs
btc_leads_eth_lag5,5min,-4.549077771975971e-17,-6.534567156268878e-06,3.662272708299059e-17,0.9999999999999654,2.15,-1.0996836510858689e-15,False,907723
btc_return_positive_pct,5min,-0.00905665104171461,-8.218111300406505e-05,-0.0066425103441773835,0.0,2.15,-0.218860930753913,False,907057
ofi_depth1,5min,0.17167089100696953,0.04973749311032738,0.22331540893206436,0.0,2.15,4.149932836292377,False,907723
trade_count,5min,,-6.534567156268878e-06,,,2.15,,False,907723
sma_5,1hour,-0.006249583279699846,-0.0008377770080569835,-0.016494940123538714,2.6377817707867734e-09,7.447818472546172,-0.4858880648784234,False,907228
ema_5,1hour,-0.006292568324027709,-0.0008566520294750468,-0.016444533689046748,2.046261160515428e-09,7.447818472546172,-0.48923410973931153,False,907368
sma_10,1hour,-0.006192944515448182,-0.0007435124082859623,-0.015735197697068413,3.675612036957432e-09,7.447818472546172,-0.4814822247051062,False,907053
ema_10,1hour,-0.0062557457964490856,-0.0008293777422143656,-0.016367199813633427,2.537629217869153e-09,7.447818472546172,-0.4863712347460451,False,907368
sma_20,1hour,-0.006221193791479535,-0.0007167671060410719,-0.015539131042321363,3.1432008107401543e-09,7.447818472546172,-0.48364208548015697,False,906706
ema_20,1hour,-0.006211477479744472,-0.0007939097370661674,-0.016299915691045937,3.2817453199385227e-09,7.447818472546172,-0.4829294651223541,False,907368
sma_50,1hour,-0.006302468645238643,-0.0007563110666670703,-0.015858545749979344,1.9981734045160238e-09,7.447818472546172,-0.48978763951572263,False,905686
ema_50,1hour,-0.006141960997822422,-0.0007319546598381077,-0.016257966058537424,4.89728502195419e-09,7.447818472546172,-0.4775247031247005,False,907368
sma_200,1hour,-0.00602749471364919,-0.0008285786306241327,-0.01495035543581659,1.0646835635341745e-08,7.447818472546172,-0.46769145005714724,False,900586
ema_200,1hour,-0.006061975006406745,-0.000691261980243274,-0.015982179565033977,7.721315808950635e-09,7.447818472546172,-0.47130595852204876,False,907368
sma_ratio_5_20,1hour,-0.04324074643794694,-0.0006175327679627252,-0.017701530865532986,0.0,7.447818472546172,-3.361580668586398,False,906706
sma_ratio_20_50,1hour,-0.034313624710004875,-0.00171232669998167,0.00024837548142501233,0.0,7.447818472546172,-2.6666359161720643,False,905686
sma_ratio_50_200,1hour,-0.007644293969439085,-4.193438998156829e-05,-0.005595862151200063,4.0323300254385686e-13,7.447818472546172,-0.5931437688587499,False,900586
ema_diff_12_26,1hour,-0.018907244350862017,-0.00751105071444802,-0.009057393407790026,0.0,7.447818472546172,-1.4699989545281373,False,907368
macd_line,1hour,-0.018907244350862017,-0.00751105071444802,-0.009057393407790026,0.0,7.447818472546172,-1.4699989545281373,False,907368
macd_signal,1hour,-0.015183657094410491,-0.006403551697013787,-0.003394840574869472,0.0,7.447818472546172,-1.1804977838391109,False,907368
macd_histogram,1hour,-0.015282183123479301,-0.00114504136544058,-0.019518700811311938,0.0,7.447818472546172,-1.188157977838685,False,907368
adx_14,1hour,0.007008785065746911,-0.0004789271882128521,-0.006007028481387632,2.5087265598244812e-11,7.447818472546172,0.5448390524087772,False,906418
adx_28,1hour,0.005143493036382794,-0.0003562105145780148,-0.007096790310635596,9.860112732962278e-07,7.447818472546172,0.39968783418861786,False,905482
rsi_7,1hour,-0.013720268604736054,-0.00021409550584960968,-0.00966787571581932,0.0,7.447818472546172,-1.0663306860695643,False,902794
rsi_14,1hour,-0.01216687267752015,-0.0002225178433117314,-0.008010012240028636,0.0,7.447818472546172,-0.9459371165142946,False,906846
rsi_28,1hour,-0.01180151915630592,-0.0005126339715124661,-0.002733864157923548,0.0,7.447818472546172,-0.917410547112075,False,906400
rsi_14_zscore,1hour,-0.008786200855705096,-0.00012713125120078494,-0.006057907043902507,0.0,7.447818472546172,-0.6828575585427256,False,904410
stoch_k,1hour,-0.01859560842352445,-0.0005384000238015663,-0.011951649204887844,0.0,7.447818472546172,-1.4457537913923815,False,906910
stoch_d,1hour,-0.016712612139248854,-0.00039802298470115183,-0.011603607695980659,0.0,7.447818472546172,-1.299336503374376,False,906838
stoch_diff,1hour,-0.00745434633085374,-0.0001994153717896907,-0.0028456881499848456,1.2592149545298525e-12,7.447818472546172,-0.5795446107270475,False,906838
cci_14,1hour,-0.016093339472509773,-0.0002724602638692897,-0.010724917189911512,0.0,7.447818472546172,-1.251209749561711,False,906910
cci_28,1hour,-0.013944206190712355,-0.00039478268079840007,-0.006410498106573281,0.0,7.447818472546172,-1.0839755546557663,False,906434
roc_5,1hour,-0.036610198038474755,-0.0003087824549836693,-0.016150090259959997,0.0,7.447818472546172,-2.84633587592818,False,907199
roc_10,1hour,-0.041744847558792625,-0.0002551559796204472,-0.020243166870865487,0.0,7.447818472546172,-3.2455881796751225,False,907040
roc_20,1hour,-0.048688435253645794,-0.0013562265891142733,-0.014996447683514293,0.0,7.447818472546172,-3.7853459561849663,False,906782
